"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4535","Auth setup for Admin","authSetup - Admin","Mon Sep 29 17:08:28 IST 2025","passed","Mon Sep 29 17:08:32 IST 2025","","setup\admin.auth.ts","",""
"","0","login flow","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: eee@gmail.com","example.spec.ts","",""
"","8411","third test","UI tests","Mon Sep 29 10:51:44 IST 2025","failed","Mon Sep 29 10:51:53 IST 2025","User flow","exampleenv.spec.ts","",""
"","10385","Filter the product by category","UI tests","Mon Sep 29 17:08:35 IST 2025","passed","Mon Sep 29 17:08:46 IST 2025","Vendor flow","exampleenv.spec.ts","",""
"","0","Registration","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: eee@gmail.com","example.spec.ts","",""
"","5238","Auth setup for Vendor","authSetup - Vendor","Mon Sep 29 17:08:28 IST 2025","passed","Mon Sep 29 17:08:33 IST 2025","","setup\vendor.auth.ts","",""
"","10032","Filter the product by category","UI tests","Mon Sep 29 17:08:35 IST 2025","passed","Mon Sep 29 17:08:45 IST 2025","User flow","exampleenv.spec.ts","",""
"","0","login flow","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: abb@gmail.com","example.spec.ts","",""
"","4563","Auth setup for User","authSetup - User","Mon Sep 29 17:08:28 IST 2025","passed","Mon Sep 29 17:08:32 IST 2025","","setup\user.auth.ts","",""
"","5064","third test","UI tests","Mon Sep 29 10:51:54 IST 2025","failed","Mon Sep 29 10:51:59 IST 2025","Vendor flow","exampleenv.spec.ts","",""
"","0","login flow","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: cacc@gmail.com","example.spec.ts","",""
"","5318","Checking old price with new price","UI tests","Mon Sep 29 11:12:58 IST 2025","failed","Mon Sep 29 11:13:03 IST 2025","Vendor flow","exampleenv.spec.ts","",""
"","5388","multiple env test","UI tests","Mon Sep 29 10:51:49 IST 2025","passed","Mon Sep 29 10:51:54 IST 2025","Vendor flow","exampleenv.spec.ts","",""
"","8906","second test","UI tests","Mon Sep 29 10:50:20 IST 2025","passed","Mon Sep 29 10:50:29 IST 2025","Admin flow","exampleenv.spec.ts","",""
"","0","shop flow","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: eee@gmail.com","example.spec.ts","",""
"","8353","Launching the url","UI tests","Mon Sep 29 17:08:35 IST 2025","passed","Mon Sep 29 17:08:43 IST 2025","Admin flow","exampleenv.spec.ts","",""
"","0","Registration","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: cacc@gmail.com","example.spec.ts","",""
"","11103","Checking old price with new price","UI tests","Mon Sep 29 11:12:45 IST 2025","failed","Mon Sep 29 11:12:56 IST 2025","User flow","exampleenv.spec.ts","",""
"","0","shop flow","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: cacc@gmail.com","example.spec.ts","",""
"","0","Home page functionalities","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: eee@gmail.com","example.spec.ts","",""
"","13441","Checking old price with new price","UI tests","Mon Sep 29 11:12:45 IST 2025","failed","Mon Sep 29 11:12:58 IST 2025","Admin flow","exampleenv.spec.ts","",""
"","9945","second test","UI tests","Mon Sep 29 10:51:44 IST 2025","passed","Mon Sep 29 10:51:54 IST 2025","User flow","exampleenv.spec.ts","",""
"","0","shop flow","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: abb@gmail.com","example.spec.ts","",""
"","7469","third test","UI tests","Mon Sep 29 10:51:45 IST 2025","failed","Mon Sep 29 10:51:52 IST 2025","Admin flow","exampleenv.spec.ts","",""
"","0","Home page functionalities","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: cacc@gmail.com","example.spec.ts","",""
"","5352","multiple env test","UI tests","Mon Sep 29 10:51:44 IST 2025","passed","Mon Sep 29 10:51:50 IST 2025","User flow","exampleenv.spec.ts","",""
"","9008","Filter the product by category","UI tests","Mon Sep 29 17:08:35 IST 2025","passed","Mon Sep 29 17:08:44 IST 2025","Admin flow","exampleenv.spec.ts","",""
"","0","Home page functionalities","UI tests","Mon Sep 29 17:07:47 IST 2025","skipped","Mon Sep 29 17:07:47 IST 2025","Demo Flow for user: abb@gmail.com","example.spec.ts","",""
"","5319","second test","UI tests","Mon Sep 29 10:50:28 IST 2025","passed","Mon Sep 29 10:50:33 IST 2025","Vendor flow","exampleenv.spec.ts","",""
"","8642","Launching the url","UI tests","Mon Sep 29 17:08:35 IST 2025","passed","Mon Sep 29 17:08:44 IST 2025","User flow","exampleenv.spec.ts","",""
"","4100","multiple env test","UI tests","Mon Sep 29 10:51:44 IST 2025","passed","Mon Sep 29 10:51:48 IST 2025","Admin flow","exampleenv.spec.ts","",""
"","7141","Launching the url","UI tests","Mon Sep 29 17:08:35 IST 2025","passed","Mon Sep 29 17:08:42 IST 2025","Vendor flow","exampleenv.spec.ts","",""
